variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,cambio_usd,25,-0.05255749627911568,-0.15315931811486153,0.04462838282741719,-0.26102746662296317,0.13339434996037505
baseline,full,cambio_usd,26,-0.04398611625023784,-0.14152921286947157,0.047831752566019674,-0.24360292963142186,0.1524858316179083
baseline,full,cambio_usd,27,-0.03342175347721228,-0.12877220940793638,0.057067461086592,-0.23260087708175756,0.16103360246389561
baseline,full,cambio_usd,28,-0.024197279227825393,-0.11946304927265664,0.0668559831351813,-0.22139018960655868,0.16497952381703207
baseline,full,cambio_usd,29,-0.014862636557787606,-0.11355680007384185,0.07263195065401416,-0.2111010870112969,0.16680619871027802
baseline,full,cambio_usd,30,-0.004786056246873463,-0.10411580647268662,0.07645471466348007,-0.20376220804081796,0.16861193012264883
baseline,full,cambio_usd,31,0.0041340918981630755,-0.09576286092609637,0.08271903079120575,-0.1910054260940893,0.17617753548445658
baseline,full,cambio_usd,32,0.012580078452847395,-0.08662039196213449,0.0846347030788311,-0.17782666807131664,0.18161313856283406
baseline,full,cambio_usd,33,0.021120172557026407,-0.07704958148000521,0.09266273956617059,-0.16683629131903893,0.1896341556618902
baseline,full,cambio_usd,34,0.02875437082581785,-0.06584610708830241,0.09633019000324469,-0.1543841468589138,0.19566510585020944
baseline,full,cambio_usd,35,0.03572430417054228,-0.057101426408799436,0.10045567450264502,-0.14803943930058286,0.19482319769121897
baseline,full,cambio_usd,36,0.042465499609731706,-0.05303384465402865,0.10979719560602705,-0.14006628321024794,0.19346606650689008
baseline,full,cambio_usd,37,0.048379637232722164,-0.05007306661740906,0.12008355929865232,-0.13037271743338813,0.1994401853083778
baseline,full,cambio_usd,38,0.053737637384707666,-0.0419325162534102,0.12373393204741805,-0.1198956496285245,0.21179155466554697
baseline,full,cambio_usd,39,0.0586623326113535,-0.03540949777216816,0.12521728280004504,-0.10389385818248956,0.21785784046238374
baseline,full,cambio_usd,40,0.06267680823696858,-0.03036707472902532,0.12843315354612606,-0.09149042284090689,0.226288765575321
baseline,full,cambio_usd,41,0.06606188944760846,-0.02535346908834024,0.13402806286809,-0.08639977306974014,0.22386328017530766
baseline,full,cambio_usd,42,0.06891077370068308,-0.021832075457388404,0.13419112295657193,-0.08422060489999497,0.22546814322905212
baseline,full,cambio_usd,43,0.07093368170984618,-0.021387617341634888,0.1338327222142644,-0.08443720525029368,0.23166424280286502
baseline,full,cambio_usd,44,0.07234779689460072,-0.021873084763976168,0.1335526007831319,-0.07275171812560845,0.23006879144170844
baseline,full,cambio_usd,45,0.07323235733877463,-0.02242275198162688,0.13069092455898637,-0.06577145514688855,0.23448191210349273
baseline,full,cambio_usd,46,0.07344449776541963,-0.019114584832413378,0.13023029547004844,-0.0632851307540017,0.23444330538668592
baseline,full,cambio_usd,47,0.07312628991618914,-0.018251006116048598,0.12927692133193566,-0.06409293519887363,0.24153185406734157
baseline,full,cambio_usd,48,0.07235123370408504,-0.02032704766951165,0.12627867105686794,-0.06537778149095198,0.24630477836140827
baseline,pre_covid,yield_6m,0,0.005,0.005,0.005,0.005,0.005
baseline,pre_covid,yield_6m,1,0.004187137192499994,9.9969075552039e-4,0.006232406122915399,-0.004554056061228184,0.009629546313106946
baseline,pre_covid,yield_6m,2,0.005220594602788155,0.0014164147099733435,0.007248119237480548,-0.003492872696484847,0.01214996426210836
baseline,pre_covid,yield_6m,3,0.006860537525266416,0.0018032418275696037,0.009073914799312865,-0.004575194428806932,0.013696543809898303
baseline,pre_covid,yield_6m,4,0.005810555206211535,7.442098061758448e-5,0.0086840224070183,-0.007992847380057674,0.01432998614284672
baseline,pre_covid,yield_6m,5,0.00553407486055144,-8.352280742619063e-4,0.009144071404652485,-0.009763605825604918,0.015943315693095886
baseline,pre_covid,yield_6m,6,0.005749505013760878,-0.0016155658980193748,0.009393200324270101,-0.011742453329466072,0.017936786191525014
baseline,pre_covid,yield_6m,7,0.005438459337064856,-0.0024325344164809145,0.009792365990672904,-0.015025252700812211,0.0186329066216182
baseline,pre_covid,yield_6m,8,0.00528326532113121,-0.003894639262080332,0.010027246440346676,-0.017083814332681725,0.020801159426424846
baseline,pre_covid,yield_6m,9,0.005178279276958249,-0.004677153772511718,0.010557816627649331,-0.018366317987489014,0.021786126588767912
baseline,pre_covid,yield_6m,10,0.005237417013174367,-0.0053904323324857634,0.010659033652636705,-0.01966627129197951,0.025054442364925128
baseline,pre_covid,yield_6m,11,0.004931851273581151,-0.006557064579631764,0.010964448005293247,-0.021379910718098583,0.024222106952492134
baseline,pre_covid,yield_6m,12,0.004558421270959211,-0.007078627832771527,0.011507466805141562,-0.02060724154802418,0.025857623037581785
baseline,pre_covid,yield_6m,13,0.004077863865688874,-0.007885931995435302,0.011992591426456398,-0.020542288848810247,0.027890834474124257
baseline,pre_covid,yield_6m,14,0.003247757505621429,-0.008274048970659725,0.011980902327567574,-0.023475198277355044,0.029795662892104318
baseline,pre_covid,yield_6m,15,0.0027806519180237545,-0.009109777478916049,0.011995106314650353,-0.0242210700155689,0.028951035704079864
baseline,pre_covid,yield_6m,16,0.002143142333317986,-0.009649423251410754,0.011539105767900477,-0.026416940859066065,0.029494615630976825
baseline,pre_covid,yield_6m,17,0.0014142418857408445,-0.01067984310843905,0.01117851097410056,-0.03047260425984145,0.028127562795239203
baseline,pre_covid,yield_6m,18,9.720265469535342e-4,-0.011081222028008122,0.011408715655655951,-0.030858958187463665,0.029326154565830244
baseline,pre_covid,yield_6m,19,3.1816981460889323e-4,-0.011986439497838054,0.010498579784812955,-0.03341460897362917,0.029325952055110103
baseline,pre_covid,yield_6m,20,-1.4519374993341645e-4,-0.012475215866855219,0.010072457418016857,-0.03372141888165309,0.02944645047771294
baseline,pre_covid,yield_6m,21,-5.296650299441689e-4,-0.013298388587553396,0.010079477692668435,-0.035266259400228414,0.028827832907478035
baseline,pre_covid,yield_6m,22,-0.0010223599837550935,-0.013947717716368992,0.009697991096395714,-0.03718272396335491,0.02888986387305099
baseline,pre_covid,yield_6m,23,-0.0014546559045135775,-0.014699753383115034,0.009591605657206369,-0.03724365103105711,0.03028187944570471
baseline,pre_covid,yield_6m,24,-0.002046757891678231,-0.015111985927376769,0.009510417749429442,-0.03822805278688692,0.0314795177283673
baseline,pre_covid,yield_6m,25,-0.002680468948148135,-0.015541866231677377,0.009174302046641426,-0.038033412203447435,0.03244011174843608
baseline,pre_covid,yield_6m,26,-0.0033166325700124083,-0.016154150956851035,0.009116303426748712,-0.041933793857544664,0.03157074731214941
baseline,pre_covid,yield_6m,27,-0.004060875256583109,-0.01730052353903392,0.008847940219906557,-0.04472532358166913,0.03136095933882789
baseline,pre_covid,yield_6m,28,-0.0047627923569722955,-0.017822238006138316,0.008799518817466805,-0.045832306584355165,0.03216198821680882
baseline,pre_covid,yield_6m,29,-0.005445375401460263,-0.018095838958822535,0.00843904177645615,-0.04665559045204384,0.0325695965302812
baseline,pre_covid,yield_6m,30,-0.00611124903036435,-0.018989175337863557,0.008168523651099758,-0.048623579454691535,0.030968032271623168
baseline,pre_covid,yield_6m,31,-0.006663946492571854,-0.020346093334685445,0.008783697986996863,-0.047868185934146185,0.03213857034936023
baseline,pre_covid,yield_6m,32,-0.007150237582267431,-0.020994677352092806,0.008264924834219997,-0.049878472350874704,0.03327186039728458
baseline,pre_covid,yield_6m,33,-0.007544177739314072,-0.021118695140231947,0.00821847655251901,-0.04837723627311866,0.03577679973784924
baseline,pre_covid,yield_6m,34,-0.00786718998764805,-0.021127446779785647,0.007504317235104545,-0.04555293508524772,0.03632377586563954
baseline,pre_covid,yield_6m,35,-0.008156011945098515,-0.021676339089514808,0.008279564436156944,-0.04561483548140586,0.037998902480129944
baseline,pre_covid,yield_6m,36,-0.008389072910667268,-0.0217382201598461,0.00810452085680382,-0.04703022817149104,0.04104727562665903
baseline,pre_covid,yield_6m,37,-0.008605294689342928,-0.022060732149713692,0.008019705566183616,-0.04968653194470825,0.04351221989886732
baseline,pre_covid,yield_6m,38,-0.008782522031373093,-0.02242390496398679,0.008356024841323539,-0.04959383956669785,0.046303397619768163
baseline,pre_covid,yield_6m,39,-0.008908625187994037,-0.02222068666961099,0.008605616594080693,-0.05028079887028227,0.04422017745772173
baseline,pre_covid,yield_6m,40,-0.008996398610446812,-0.02233647902228119,0.009761726197054442,-0.05463518157023477,0.045715356517697946
baseline,pre_covid,yield_6m,41,-0.009004849597700591,-0.022088598061167287,0.009404118473864175,-0.05884589190179074,0.047609237006061275
baseline,pre_covid,yield_6m,42,-0.008938268175194542,-0.021587952890145385,0.009768616624002208,-0.05938183961816118,0.05122902522404387
baseline,pre_covid,yield_6m,43,-0.008792795438773631,-0.021598874921686995,0.010705711807396389,-0.06380957978169108,0.054283519941451905
baseline,pre_covid,yield_6m,44,-0.008554824755877865,-0.02126854903695049,0.010926215833686187,-0.06878742799811677,0.05593419058608623
baseline,pre_covid,yield_6m,45,-0.008246089735589802,-0.021092166509993654,0.011680264193841232,-0.07141332889237398,0.059191364403086894
baseline,pre_covid,yield_6m,46,-0.00787224160828255,-0.020678977362713933,0.012398983587296448,-0.07207533837455694,0.06075204557596057
baseline,pre_covid,yield_6m,47,-0.007449499370264782,-0.020817701946055797,0.013725616658344979,-0.06827779396838476,0.06175104479927895
baseline,pre_covid,yield_6m,48,-0.006991046438273108,-0.021422625210440634,0.014079505486472021,-0.07314266092965505,0.05999121258599307
baseline,pre_covid,yield_2y,0,0.00673313120634279,0.0025193567046793803,0.01128413953029089,-0.004657894039282223,0.01707106123596384
baseline,pre_covid,yield_2y,1,0.0056681299102025445,-0.0015990129040342536,0.011374267345512607,-0.011810278458278594,0.018811615677624446
baseline,pre_covid,yield_2y,2,0.0043052245930776875,-0.0023478948098114077,0.009145314518332788,-0.011016710700755425,0.01615958732702163
baseline,pre_covid,yield_2y,3,0.0053040216177876855,-0.001920876203452049,0.010590062529499861,-0.010690956492092804,0.017233515425035352
baseline,pre_covid,yield_2y,4,0.004211088824277675,-0.0032460137376626418,0.009939142251861231,-0.014308475028839623,0.018187624020141895
baseline,pre_covid,yield_2y,5,0.002337975956170646,-0.006222472170409973,0.00877020657759309,-0.0183037307027658,0.016034917298856907
baseline,pre_covid,yield_2y,6,0.0027182262367457057,-0.006564615853169524,0.008923656567589557,-0.020309499364789714,0.016185877635116103
baseline,pre_covid,yield_2y,7,0.002747255257372385,-0.0065577864794495525,0.009372094876915637,-0.02128536174904004,0.019799548185265286
baseline,pre_covid,yield_2y,8,0.002150071770648754,-0.008541165288279222,0.009891600794258425,-0.023066924734645628,0.020058175467431365
baseline,pre_covid,yield_2y,9,0.001766301651853772,-0.009523189596278556,0.009660636131516036,-0.02544746966943436,0.02077072892078213
baseline,pre_covid,yield_2y,10,0.0027412783756385795,-0.008377646380570985,0.01063906003845153,-0.021231650507641028,0.026013910951330165
baseline,pre_covid,yield_2y,11,0.003073938713805121,-0.0089840360115215,0.011586209648525112,-0.02188301287143955,0.027996707107416884
baseline,pre_covid,yield_2y,12,0.0024644844773604583,-0.009565508489146177,0.011870314778394701,-0.02232437198265675,0.029213115820536914
baseline,pre_covid,yield_2y,13,0.0019378009840116076,-0.010387614327156687,0.012342989328959206,-0.02439862943178715,0.02984941373797609
baseline,pre_covid,yield_2y,14,0.001281412635889151,-0.01039980025196311,0.011582968590159963,-0.02761893742921858,0.032159016024362885
baseline,pre_covid,yield_2y,15,7.20623331479247e-4,-0.011023661821029493,0.011835563574536263,-0.027378911428259677,0.034749969700411165
baseline,pre_covid,yield_2y,16,-1.3035257832988667e-4,-0.011114275017461985,0.011537176235864097,-0.029802008818717488,0.03315557852054692
baseline,pre_covid,yield_2y,17,-6.286773089555323e-4,-0.012163067036166727,0.01130357221651305,-0.03283412976857501,0.030604067379615726
baseline,pre_covid,yield_2y,18,-0.0010799453428664578,-0.012648427518327041,0.011581588983099389,-0.035092740723154846,0.030143273026304526
baseline,pre_covid,yield_2y,19,-0.0018260792064683502,-0.01389432040946183,0.009838576374500611,-0.0391935641137879,0.028095026582369054
baseline,pre_covid,yield_2y,20,-0.0019485202364754972,-0.01371196852324516,0.009607164746618452,-0.04031579434155125,0.028663273908409878
baseline,pre_covid,yield_2y,21,-0.0021510939197233237,-0.014793680879753836,0.008813496057898744,-0.0403911898028227,0.029960582745112426
baseline,pre_covid,yield_2y,22,-0.002636858202632603,-0.014929763908492558,0.008741764378500359,-0.03972456431632681,0.030419458378594305
baseline,pre_covid,yield_2y,23,-0.002962065303659278,-0.015162189661142423,0.008754948790041,-0.04333788516614202,0.03283440629449623
baseline,pre_covid,yield_2y,24,-0.0036457769519770383,-0.016112575184110182,0.009296023132483318,-0.04276353019688217,0.03232647227769533
baseline,pre_covid,yield_2y,25,-0.0045789346983387885,-0.016871556611652804,0.007985296863877613,-0.04165905655151491,0.032283211067230984
baseline,pre_covid,yield_2y,26,-0.005415292866464929,-0.01787127092093894,0.00853498517884214,-0.042444053334991405,0.03147614835189139
baseline,pre_covid,yield_2y,27,-0.006353697404311694,-0.018631899686920785,0.008705327359867282,-0.041842889702848496,0.03231311407328784
baseline,pre_covid,yield_2y,28,-0.007311766780962697,-0.020031928953762605,0.008579155532748132,-0.04387389536308856,0.03116771734093452
baseline,pre_covid,yield_2y,29,-0.008102455761571026,-0.020986490229573943,0.008695330359041912,-0.047967152829231086,0.028423080521631748
baseline,pre_covid,yield_2y,30,-0.008762844273512743,-0.021962821018830365,0.008320792546262022,-0.04864420597198415,0.02855908196621117
baseline,pre_covid,yield_2y,31,-0.009297308968257654,-0.022599512917817925,0.008767794302986064,-0.05013100469510352,0.031036153679300852
baseline,pre_covid,yield_2y,32,-0.009676353381044542,-0.02270646092936407,0.00784923211884121,-0.05249863837891194,0.032926804294654326
baseline,pre_covid,yield_2y,33,-0.009889206385825395,-0.022488146438825147,0.007406212567583743,-0.050277618546231286,0.03223000584225462
baseline,pre_covid,yield_2y,34,-0.010052711795858083,-0.02284677481344236,0.006881019049607267,-0.046276809042340564,0.03655593157895258
baseline,pre_covid,yield_2y,35,-0.010202852883956648,-0.022653223729256596,0.0069944668020202536,-0.047773058656285755,0.03803449932079776
baseline,pre_covid,yield_2y,36,-0.01028905056711901,-0.02284776687182192,0.007412596044224639,-0.049681325447690085,0.04057082644206123
baseline,pre_covid,yield_2y,37,-0.010399637952666034,-0.02303822992158052,0.007687006196768643,-0.05124299484834287,0.039940134627392196
baseline,pre_covid,yield_2y,38,-0.010481565482032723,-0.022923387472146693,0.008038450851374244,-0.05535622245625384,0.03648857530005769
baseline,pre_covid,yield_2y,39,-0.010480503726728178,-0.023871169634735484,0.008240470395597166,-0.05609252858038679,0.03824833331199326
baseline,pre_covid,yield_2y,40,-0.01043483684061982,-0.023221198257442077,0.008905394459845995,-0.06048027868249355,0.045801357768546165
baseline,pre_covid,yield_2y,41,-0.010290649292952923,-0.023618617392745036,0.008936990444035684,-0.06369348190228576,0.04775669802986176
baseline,pre_covid,yield_2y,42,-0.0100329994118336,-0.023474193594356683,0.010033093927182947,-0.06678246121018012,0.050572629109253045
baseline,pre_covid,yield_2y,43,-0.009670393008966879,-0.023499692540132296,0.010519098858006256,-0.06976392625941714,0.05064412347966926
baseline,pre_covid,yield_2y,44,-0.009212121969328633,-0.022811541716064473,0.011313372349587288,-0.07216015843987743,0.05117120765400578
baseline,pre_covid,yield_2y,45,-0.00867268279541044,-0.02275051736643787,0.012329232521570917,-0.07682990151367611,0.05218243334479454
baseline,pre_covid,yield_2y,46,-0.008071431041516643,-0.02296536539080531,0.012975345292450303,-0.08015092848547474,0.05037295478294164
