sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
full,7,6,6,yield_6m,0,0.005,0.005,0.005,0.005,0.005,TRUE,TRUE
full,7,6,6,yield_6m,1,0.006486887982512389,0.005052476856307711,0.007132711839239669,0.004210782816362825,0.008155531838717887,TRUE,TRUE
full,7,6,6,yield_6m,2,0.007071681562097851,0.004447701135738835,0.007497519489124133,0.002856985292990174,0.00851777931911814,TRUE,TRUE
full,7,6,6,yield_6m,3,0.007362826497539025,0.00399143084294799,0.008112650406112035,0.001973385486260839,0.00951273156113854,TRUE,TRUE
full,7,6,6,yield_6m,4,0.006446075841907748,0.0021271474340715598,0.007580680737019915,-3.267233808357705e-4,0.009478204546410521,TRUE,FALSE
full,7,6,6,yield_6m,5,0.005907659945172428,0.0011163027488972116,0.007304933286285089,-0.0021400996728746457,0.009504166036763278,TRUE,FALSE
full,7,6,6,yield_6m,6,0.00615654850250275,0.0011632759008132275,0.007998418324970284,-0.0017666364106709,0.01046971783189554,TRUE,FALSE
full,7,6,6,yield_6m,7,0.006200882141554278,8.664538511441169e-4,0.008103728574212123,-0.0025525397722342036,0.011310108860685947,TRUE,FALSE
full,7,6,6,yield_6m,8,0.005298776746101169,-2.521068545706808e-4,0.007771621012731362,-0.003897196190309271,0.01094344299016745,FALSE,FALSE
full,7,6,6,yield_6m,9,0.004544722618045082,-0.0010314942578086939,0.007591139269301734,-0.005014109895207683,0.01077800877600681,FALSE,FALSE
full,7,6,6,yield_6m,10,0.003415689477809178,-0.0023259845249211254,0.007127374922879774,-0.006635448785271676,0.010565586317003408,FALSE,FALSE
full,7,6,6,yield_6m,11,0.0017354159694043874,-0.003981445734397757,0.006226062436941158,-0.008751620658978826,0.00989042865194506,FALSE,FALSE
full,7,6,6,yield_6m,12,8.65039414839201e-4,-0.0047681728513056425,0.006039775072008487,-0.009578919882533694,0.009995641249521903,FALSE,FALSE
full,7,6,6,yield_6m,13,-4.507056246630613e-4,-0.006085005137203881,0.005380397507480143,-0.010868304271029295,0.009092158450351806,FALSE,FALSE
full,7,6,6,yield_6m,14,-0.0017060296566733923,-0.0073832009135438624,0.004862635374584708,-0.01241235488171757,0.009017297611873984,FALSE,FALSE
full,7,6,6,yield_6m,15,-0.002447213869426121,-0.00807968739755013,0.0045362396838778745,-0.013548494091240842,0.008796824820468693,FALSE,FALSE
full,7,6,6,yield_6m,16,-0.0034720604138040925,-0.009181759230394384,0.003811986306275476,-0.014921842107505577,0.0087132459447629,FALSE,FALSE
full,7,6,6,yield_6m,17,-0.004392700636687259,-0.009847572857492442,0.003218146072807169,-0.016958209340415614,0.008262222920008383,FALSE,FALSE
full,7,6,6,yield_6m,18,-0.005144031254526441,-0.010238255637677513,0.0027968309169127976,-0.01820321368816563,0.007955214218499138,FALSE,FALSE
full,7,6,6,yield_6m,19,-0.006006027085285612,-0.011388579583574998,0.0021918825542334543,-0.018952856330695236,0.007744463538330698,FALSE,FALSE
full,7,6,6,yield_6m,20,-0.006788922238913745,-0.011989164536343709,0.0018042428991536443,-0.02014786047683623,0.007136992088204053,FALSE,FALSE
full,7,6,6,yield_6m,21,-0.007421053288255849,-0.012495481405053504,0.0014526250958021027,-0.021691706558260585,0.006373964822648497,FALSE,FALSE
full,7,6,6,yield_6m,22,-0.008026765354726066,-0.013193329996413173,0.0010316156076829847,-0.022433416601899403,0.006119310868926636,FALSE,FALSE
full,7,6,6,yield_6m,23,-0.008602390292725698,-0.013603297870743169,0.001074603203271971,-0.023541955232793198,0.005542853583433192,FALSE,FALSE
full,7,6,6,yield_6m,24,-0.009040225062455174,-0.014028934967009098,7.751204736907785e-4,-0.024267066033075334,0.005172905085621802,FALSE,FALSE
full,7,6,6,yield_6m,25,-0.00948025268596167,-0.014667565904378723,6.624660113705044e-4,-0.02525096792530228,0.004974808298269781,FALSE,FALSE
full,7,6,6,yield_6m,26,-0.00987550658076051,-0.015177100262888772,4.5286267865538623e-4,-0.026176233056588373,0.004653871276091781,FALSE,FALSE
